/* Vol 4483, No 2: 21 Sept. 2018 */	3966	104163446	2	5106968	Gebruiker:Joopwiki/Zootaxa ToDO List	2018-09-25T13:10:24Z	"<a href=""/wiki/Gebruiker:Joopwiki/Zootaxa_ToDO_List#Vol_4483,_No_2:_21_Sept._2018"" title=""Gebruiker:Joopwiki/Zootaxa ToDO List"">→</a>‎<span dir=""auto""><span class=""autocomment"">Vol 4483, No 2: 21 Sept. 2018</span></span>"	104399	52342928	52341989		Joopwiki	edit	52342928	3966	[]
	5374	104172815	2	5106968	Gebruiker:Joopwiki/Zootaxa ToDO List	2018-09-26T11:43:51Z		104399	52347734	52342928		Joopwiki	edit	52347734	3966	[]
Repareer [[WP:LND|link naar doorverwijspagina]] met [[G:ZM|Zeusmodus]], [[Plecoptera]] → [[steenvliegen]]	5387	104173329	2	5106968	Gebruiker:Joopwiki/Zootaxa ToDO List	2018-09-26T12:34:03Z	"Repareer <a href=""/wiki/Wikipedia:LND"" class=""mw-redirect"" title=""Wikipedia:LND"">link naar doorverwijspagina</a> met <a href=""/wiki/G:ZM"" class=""mw-redirect"" title=""G:ZM"">Zeusmodus</a>, <a href=""/wiki/Plecoptera"" title=""Plecoptera"">Plecoptera</a> → <a href=""/wiki/Steenvliegen"" title=""Steenvliegen"">steenvliegen</a>"	104399	52348048	52347734	Joopwiki	5374	52348048	edit	[]
	6722	104181438	2	5106968	Gebruiker:Joopwiki/Zootaxa ToDO List	2018-09-27T07:36:53Z		104399	52352282	52348048		Joopwiki	edit	52352282	5387	[]
/* Vol 4486, No 2: 27 Sept. 2018 */	6723	104181439	2	5106968	Gebruiker:Joopwiki/Zootaxa ToDO List	2018-09-27T07:37:13Z	"<a href=""/wiki/Gebruiker:Joopwiki/Zootaxa_ToDO_List#Vol_4486,_No_2:_27_Sept._2018"" title=""Gebruiker:Joopwiki/Zootaxa ToDO List"">→</a>‎<span dir=""auto""><span class=""autocomment"">Vol 4486, No 2: 27 Sept. 2018</span></span>"	104399	52352283	52352282		Joopwiki	edit	52352283	6722	[]
Taxonomie	817	104186517	0	4744285	Calma	2018-09-27T17:44:57Z	Taxonomie	104399	52355059	52321918	Joopwiki	941	52355059	edit	[]
	813	104186521	0	4744285	Calma	2018-09-27T17:45:21Z		104399	52355062	52355059		Joopwiki	edit	52355062	817	[]
Taxonomie	752	104186525	0	4744285	Calma	2018-09-27T17:45:38Z	Taxonomie	104399	52355065	52355062	Joopwiki	813	52355065	edit	[]
Soorten	1883	104186712	0	4744309	Cuthonella	2018-09-27T18:02:26Z	Soorten	104399	52355172	52339582	Joopwiki	876	52355172	edit	[]
Taxonomie	5918	104186740	0	4744304	Cuthona	2018-09-27T18:03:55Z	Taxonomie	104399	52355186	52321933	Joopwiki	6152	52355186	edit	[]
Taxonomie	695	104186746	0	4744286	Aenigmastyletus	2018-09-27T18:04:52Z	Taxonomie	104399	52355189	52321875	Joopwiki	911	52355189	edit	[]
Taxonomie	3834	104186757	0	4744289	Eubranchus	2018-09-27T18:05:41Z	Taxonomie	104399	52355193	52321946	Joopwiki	4024	52355193	edit	[]
Taxonomie	750	104186760	0	4744292	Leostyletus	2018-09-27T18:06:11Z	Taxonomie	104399	52355195	52321983	Joopwiki	966	52355195	edit	[]
/* Soorten */	7284	104186782	0	4744289	Eubranchus	2018-09-27T18:11:02Z	"<a href=""/wiki/Eubranchus#Soorten"" title=""Eubranchus"">→</a>‎<span dir=""auto""><span class=""autocomment"">Soorten</span></span>"	104399	52355212	52355193		Joopwiki	edit	52355212	3834	[]
[[WP:GS|Nieuwe pagina aangemaakt]] met '{{Taxobox | afbeelding = Ripipteryx_mopana.jpg | afbeeldingtekst = ''[[Ripipteryx_mopana]]'' | rijk=[[Dierenrijk|Animalia]] (Dieren) | stam=Geleedpotige...'	808	104187742	0	5108451	Tridactyloidea	2018-09-27T19:51:15Z	"<a href=""/wiki/Wikipedia:GS"" class=""mw-redirect"" title=""Wikipedia:GS"">Nieuwe pagina aangemaakt</a> met &#039;{{Taxobox | afbeelding = Ripipteryx_mopana.jpg | afbeeldingtekst = &#039;&#039;<a href=""/wiki/Ripipteryx_mopana"" title=""Ripipteryx mopana"">Ripipteryx_mopana</a>&#039;&#039; | rijk=<a href=""/wiki/Dierenrijk"" title=""Dierenrijk"">Animalia</a> (Dieren) | stam=Geleedpotige...&#039;"	104399	52355659	0	Joopwiki	0		52355659	new	[]
[[WP:GS|Nieuwe pagina aangemaakt]] met '{{Taxobox | afbeelding = Ripipteryx_mopana.jpg | afbeeldingtekst = ''[[Ripipteryx_mopana]]'' | rijk=[[Dierenrijk|Animalia]] (Dieren) | stam=Geleedpotige...'	873	104187769	0	5108453	Ripipterygidae	2018-09-27T19:56:20Z	"<a href=""/wiki/Wikipedia:GS"" class=""mw-redirect"" title=""Wikipedia:GS"">Nieuwe pagina aangemaakt</a> met &#039;{{Taxobox | afbeelding = Ripipteryx_mopana.jpg | afbeeldingtekst = &#039;&#039;<a href=""/wiki/Ripipteryx_mopana"" title=""Ripipteryx mopana"">Ripipteryx_mopana</a>&#039;&#039; | rijk=<a href=""/wiki/Dierenrijk"" title=""Dierenrijk"">Animalia</a> (Dieren) | stam=Geleedpotige...&#039;"	104399	52355679	0	Joopwiki	0		52355679	new	[]
+bron	2569	104187811	0	3568468	Mirhipipteryx	2018-09-27T20:00:48Z	+bron	104399	52355702	37637217	Joopwiki	2338	52355702	edit	[]
+bron	851	104187847	0	3544838	Mirhipipteryx pulicaria	2018-09-27T20:05:11Z	+bron	104399	52355724	37654219	Joopwiki	784	52355724	edit	[]
+bron	976	104187927	0	3544831	Mirhipipteryx lobata	2018-09-27T20:11:02Z	+bron	104399	52355759	37449467	Joopwiki	726	52355759	edit	[]
/* Vol 4486, No 2: 27 Sept. 2018 */	6742	104187974	2	5106968	Gebruiker:Joopwiki/Zootaxa ToDO List	2018-09-27T20:17:34Z	"<a href=""/wiki/Gebruiker:Joopwiki/Zootaxa_ToDO_List#Vol_4486,_No_2:_27_Sept._2018"" title=""Gebruiker:Joopwiki/Zootaxa ToDO List"">→</a>‎<span dir=""auto""><span class=""autocomment"">Vol 4486, No 2: 27 Sept. 2018</span></span>"	104399	52355792	52352283		Joopwiki	edit	52355792	6723	[]
[[WP:GS|Nieuwe pagina aangemaakt]] met '{{Taxobox | afbeelding =  | afbeeldingtekst =  | rijk = [[Dierenrijk|Animalia]] (Dieren) | stam = [[Weekdieren|Mollusca]] (Weekdieren) | klasse = Slakke...'	1243	104188321	0	5108468	Cuthonidae	2018-09-27T20:40:25Z	"<a href=""/wiki/Wikipedia:GS"" class=""mw-redirect"" title=""Wikipedia:GS"">Nieuwe pagina aangemaakt</a> met &#039;{{Taxobox | afbeelding =  | afbeeldingtekst =  | rijk = <a href=""/wiki/Dierenrijk"" title=""Dierenrijk"">Animalia</a> (Dieren) | stam = <a href=""/wiki/Weekdieren"" title=""Weekdieren"">Mollusca</a> (Weekdieren) | klasse = Slakke...&#039;"	104399	52355873	0	Joopwiki	0		52355873	new	[]
[[WP:GS|Nieuwe pagina aangemaakt]] met '{{Broodkruimel}} [[Categorie:Nudibranchia]] [[Categorie:Slakkenfamilie]]'	72	104188323	14	5108469	Categorie:Cuthonidae	2018-09-27T20:40:33Z	"<a href=""/wiki/Wikipedia:GS"" class=""mw-redirect"" title=""Wikipedia:GS"">Nieuwe pagina aangemaakt</a> met &#039;{{Broodkruimel}} <a href=""/wiki/Categorie:Nudibranchia"" title=""Categorie:Nudibranchia"">Categorie:Nudibranchia</a> <a href=""/wiki/Categorie:Slakkenfamilie"" title=""Categorie:Slakkenfamilie"">Categorie:Slakkenfamilie</a>&#039;"	104399	52355875	0	Joopwiki	0		52355875	new	[]
[[:Categorie:Tergipedidae]] verwijderd; [[:Categorie:Cuthonidae]] toegevoegd ([[Wikipedia:HotCat|HotCat.js]])	5916	104188325	0	4744304	Cuthona	2018-09-27T20:40:52Z	"<a href=""/wiki/Categorie:Tergipedidae"" title=""Categorie:Tergipedidae"">Categorie:Tergipedidae</a> verwijderd; <a href=""/wiki/Categorie:Cuthonidae"" title=""Categorie:Cuthonidae"">Categorie:Cuthonidae</a> toegevoegd (<a href=""/wiki/Wikipedia:HotCat"" title=""Wikipedia:HotCat"">HotCat.js</a>)"	104399	52355877	52355186		Joopwiki	edit	52355877	5918	[]
[[:Categorie:Tergipedidae]] verwijderd; [[:Categorie:Cuthonidae]] toegevoegd ([[Wikipedia:HotCat|HotCat.js]])	972	104188327	0	3177759	Cuthona abronia	2018-09-27T20:41:14Z	"<a href=""/wiki/Categorie:Tergipedidae"" title=""Categorie:Tergipedidae"">Categorie:Tergipedidae</a> verwijderd; <a href=""/wiki/Categorie:Cuthonidae"" title=""Categorie:Cuthonidae"">Categorie:Cuthonidae</a> toegevoegd (<a href=""/wiki/Wikipedia:HotCat"" title=""Wikipedia:HotCat"">HotCat.js</a>)"	104399	52355879	46798208		Joopwiki	edit	52355879	974	[]
[[:Categorie:Tergipedidae]] verwijderd; [[:Categorie:Cuthonidae]] toegevoegd ([[Wikipedia:HotCat|HotCat.js]])	977	104188334	0	3177763	Cuthona albocrusta	2018-09-27T20:41:26Z	"<a href=""/wiki/Categorie:Tergipedidae"" title=""Categorie:Tergipedidae"">Categorie:Tergipedidae</a> verwijderd; <a href=""/wiki/Categorie:Cuthonidae"" title=""Categorie:Cuthonidae"">Categorie:Cuthonidae</a> toegevoegd (<a href=""/wiki/Wikipedia:HotCat"" title=""Wikipedia:HotCat"">HotCat.js</a>)"	104399	52355881	46798198		Joopwiki	edit	52355881	979	[]
/* top */Naar andere familie, replaced: Tergipedidae → Cuthonidae (3), clade1 → orde met [[Project:AWB|AWB]]	913	104188378	0	3177922	Cuthona yamasui	2018-09-27T20:47:33Z	"<a href=""/wiki/Cuthona_yamasui#top"" title=""Cuthona yamasui"">→</a>‎<span dir=""auto""><span class=""autocomment"">top: </span>Naar andere familie, replaced: Tergipedidae → Cuthonidae (3), clade1 → orde met <a href=""/wiki/Wikipedia:AWB"" class=""mw-redirect"" title=""Wikipedia:AWB"">AWB</a></span>"	104399	52355902	37276985	Joopwiki	921	52355902	edit	[]
